"Ref";"Val";"Package";"PosX";"PosY";"Rot";"Side"
"C2";"560pF";"C_0603_1608Metric";42,225000;-42,300000;0,000000;top
"C3";"560pF";"C_0603_1608Metric";40,525000;-53,700000;180,000000;top
"C5";"100nF";"C_0603_1608Metric";37,825000;-48,400000;-90,000000;top
"C7";"47pF";"C_0603_1608Metric";47,425000;-39,700000;90,000000;top
"C8";"47pF";"C_0603_1608Metric";49,425000;-29,700000;-90,000000;top
"C9";"47pF";"C_0603_1608Metric";37,625000;-29,900000;-90,000000;top
"C10";"47pF";"C_0603_1608Metric";40,025000;-39,700000;-90,000000;top
"C11";"100nF";"C_0603_1608Metric";37,825000;-35,400000;-90,000000;top
"C12";"100nF";"C_0603_1608Metric";47,425000;-34,100000;90,000000;top
"R5";"2M";"R_0603_1608Metric";48,225000;-51,500000;0,000000;top
"R6";"100K";"R_0603_1608Metric";44,625000;-53,700000;180,000000;top
"R7";"10K";"R_0603_1608Metric";47,425000;-43,700000;90,000000;top
"R8";"1K";"R_0603_1608Metric";41,425000;-39,700000;-90,000000;top
"R9";"2M";"R_0603_1608Metric";48,225000;-53,700000;0,000000;top
"R10";"100K";"R_0603_1608Metric";38,625000;-42,300000;0,000000;top
"R11";"10K";"R_0603_1608Metric";36,825000;-53,700000;0,000000;top
"R12";"1K";"R_0603_1608Metric";36,825000;-51,600000;180,000000;top
"R13";"100K";"R_0603_1608Metric";45,425000;-39,700000;90,000000;top
"R14";"10K";"R_0603_1608Metric";43,425000;-39,700000;-90,000000;top
"R15";"100K";"R_0603_1608Metric";50,225000;-32,500000;0,000000;top
"R16";"1K";"R_0603_1608Metric";51,425000;-29,700000;90,000000;top
"R17";"100K";"R_0603_1608Metric";47,425000;-29,700000;-90,000000;top
"R18";"100K";"R_0603_1608Metric";35,625000;-29,900000;-90,000000;top
"R19";"100K";"R_0603_1608Metric";38,025000;-39,700000;-90,000000;top
"R20";"100K";"R_0603_1608Metric";34,825000;-32,700000;0,000000;top
"R21";"10K";"R_0603_1608Metric";37,825000;-45,100000;-90,000000;top
"R22";"1K";"R_0603_1608Metric";33,625000;-29,900000;90,000000;top
"U1";"TL074";"SOP-14";42,525000;-47,900000;90,000000;top
"U2";"TL074";"SOP-14";42,473280;-33,260000;90,000000;top
