Comment,Designator,Footprint,LCSC,Quantity
FerriteBead,"FB1,FB2",R_0603_1608Metric,C1002,2
TL074,"U1,U2",SOIC127P600X175-14N,C12594,2
100nF,"C1,C11,C12,C5",C_0603_1608Metric,C14663,4
47pF,"C10,C14,C2,C7,C8,C9",C_0603_1608Metric,C1671,6
1K,"R12,R16,R22,R8",R_0603_1608Metric,C21190,4
100K,"R10,R13,R15,R17,R18,R19,R20,R23,R24,R25,R6,R9",R_0603_1608Metric,C25803,12
10K,"R14,R21,R5,R7",R_0603_1608Metric,C25804,4
560pF,"C13,C3",C_0603_1608Metric,C458906,2
1N5819,"D1,D4",D_SOD-123,C5451628,2
10uF,"C4,C6",CP_Elec_4x5.4,C88654,2
