Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q1,MMBT3904,SOT-23,67.851,-75.9725,-90.0,top
R1,130,R_0603_1608Metric,62.644,-137.108,180.0,top
R11,100K,R_0603_1608Metric,67.851,-72.338,180.0,top
R2,130,R_0603_1608Metric,59.195,-118.878,-90.0,top
R26,10K,R_0603_1608Metric,59.977,-83.451,90.0,top
R27,1K,R_0603_1608Metric,59.83,-95.129,0.0,top
R29,100K,R_0603_1608Metric,60.12292,-78.524,90.0,top
R3,130,R_0603_1608Metric,69.13992,-109.512,-90.0,top
R4,130,R_0603_1608Metric,68.863766,-138.702532,180.0,top
