Designator,Mid X,Mid Y,Rotation,Layer
C1,71.934,-80.305,180.0,top
C10,69.380789,-65.588619,90.0,top
C11,58.218,-63.051,270.0,top
C12,71.045,-63.033,90.0,top
C13,58.222748,-59.104015,90.0,top
C14,67.855,-73.183,0.0,top
C2,71.792,-83.597,90.0,top
C3,62.997428,-67.738763,180.0,top
C4,70.462,-54.751,180.0,top
C5,57.977,-80.305,180.0,top
C6,58.962,-54.751,180.0,top
C7,71.172,-59.101,90.0,top
C8,62.917,-74.722,180.0,top
C9,59.234,-83.612,90.0,top
D1,56.462,-46.651,270.0,top
D4,72.962,-46.651,90.0,top
FB1,56.462,-42.326,270.0,top
FB2,72.962,-42.326,270.0,top
J6,59.637,-41.476,270.0,bottom
R10,56.821,-83.993,180.0,top
R12,73.443,-83.597,90.0,top
R13,69.521,-59.101,90.0,top
R14,59.869,-59.101,270.0,top
R15,64.695,-56.688,0.0,top
R16,56.55872,-59.098385,90.0,top
R17,73.077,-60.752,270.0,top
R18,69.394,-68.753,270.0,top
R19,66.854,-67.737,180.0,top
R20,66.854,-69.388,0.0,top
R21,59.996,-65.578,90.0,top
R22,59.996,-69.896,90.0,top
R23,63.029,-72.929,0.0,top
R24,67.855,-71.278,0.0,top
R25,70.141,-83.597,270.0,top
R5,56.821,-82.342,180.0,top
R6,65.457,-74.087,270.0,top
R7,59.988388,-76.930815,270.0,top
R8,68.808,-74.834,180.0,top
R9,60.885,-83.612,270.0,top
U1,65.519,-80.305,180.0,top
U2,64.68528,-62.271,180.0,top
